,Taxonomic ID,Organism Name,Functional Repertoire Size,HabitatPreference,TemperaturePreference,OxygenPreference
uid68739,903503,Candidatus Moranella endobia PCIT,389,,,
uid51175,330214,Candidatus Nitrospira defluvii,3406,"Fresh water (Fresh water, Surface water)",Mesophile,
uid66305,1002672,Candidatus Pelagibacter IMCC9063,1269,,,
uid58401,335992,Candidatus Pelagibacter ubique HTCC1062,1204,Marine,Mesophile,Aerobe
uid61641,59748,Candidatus Phytoplasma australiense,448,Host,Mesophile,Aerobe
uid59087,37692,Candidatus Phytoplasma mali,400,Host,Mesophile,Aerobe
uid58079,264201,Candidatus Protochlamydia amoebophila UWE25,1657,Host,Mesophile,
uid47081,488538,Candidatus Puniceispirillum marinum IMCC1322,2119,Marine,Mesophile,
uid46841,515618,Candidatus Riesia pediculicola USDA,503,Host,Mesophile,
uid58645,413404,Candidatus Ruthia magnifica Cm Calyptogena magnifica,911,"Multi (Endosymbiont, Host, Hydrothermal vent, Marine)",Mesophile,Aerobe
uid58139,234267,Candidatus Solibacter usitatus Ellin6076,5056,"Multi (Soil, Fresh water)",Mesophile,Aerobe
uid52535,706194,Candidatus Sulcia muelleri CARI,239,Host,Mesophile,
uid47075,641892,Candidatus Sulcia muelleri DMIN,217,Host,,
uid58943,444179,Candidatus Sulcia muelleri GWSS,217,Host,Mesophile,
uid59393,595499,Candidatus Sulcia muelleri SMDSEM,234,Host,Mesophile,
uid68741,891398,Candidatus Tremblaya princeps PCIT,118,Host,,
uid59427,412965,Candidatus Vesicomyosocius okutanii HA,876,Host,Mesophile,Anaerobe
uid52459,871271,Candidatus Zinderia insecticola CARI,196,Host,Mesophile,Anaerobe (Obligate anaerobe)
uid70727,860228,Capnocytophaga canimorsus Cc5,2064,"Host (Gingival crevices, Host)",Mesophile,Aerobe (Microaerophilic)
uid59197,521097,Capnocytophaga ochracea DSM 7271,1891,"Human (Host, Human oral microflora)",Mesophile,Facultative
uid57821,246194,Carboxydothermus hydrogenoformans Z 2901,2189,Fresh water,Thermophile (Hyperthermophile),Anaerobe
uid65789,208596,Carnobacterium 17 4,1871,"Marine (Marine, Sea water)",Mesophile,
uid59077,479433,Catenulispora acidiphila DSM 44928,5526,Soil,Mesophile,Aerobe
uid57891,190650,Caulobacter crescentus CB15,2974,"Multi (Fresh water, Marine, Soil)",Mesophile,Aerobe (Obligate aerobe)
uid59307,565050,Caulobacter crescentus NA1000,3064,"Multi (Fresh water, Marine, Soil)",Mesophile,Aerobe (Obligate aerobe)
uid58551,366602,Caulobacter K31,3651,Fresh water,Mesophile,Aerobe
uid41709,509190,Caulobacter segnis ATCC 21756,3128,Fresh water,Mesophile,Aerobe
uid66779,590998,Cellulomonas fimi ATCC 484,2892,,,
uid48821,446466,Cellulomonas flavigena DSM 20109,2896,Soil,Mesophile,Facultative
uid62159,688270,Cellulophaga algicola DSM 14237,3306,,Mesophile,Aerobe
uid63401,867900,Cellulophaga lytica DSM 7489,2735,Other (Mud),Mesophile,Aerobe
uid68143,593907,Cellvibrio gilvus ATCC 13127,2506,,,
uid59139,498211,Cellvibrio japonicus Ueda107,2993,"Soil (Soil, Terrestrial)",Mesophile,Aerobe
uid58069,266779,Chelativorans BNC1,2990,Host,Mesophile,Aerobe
uid59113,485918,Chitinophaga pinensis DSM 2588,5018,,Mesophile,Aerobe
uid57785,243161,Chlamydia muridarum Nigg,851,Host,Mesophile,
uid61633,471472,Chlamydia trachomatis 434 Bu,826,Host,Mesophile,
uid58333,315277,Chlamydia trachomatis A HAR 13,844,Host,Mesophile,
uid59351,580049,Chlamydia trachomatis B Jali20 OT,821,Host,Mesophile,
uid59349,672161,Chlamydia trachomatis B TZ1A828 OT,824,,,
uid57637,272561,Chlamydia trachomatis D UW 3 CX,840,Host,Mesophile,
uid61635,471473,Chlamydia trachomatis L2b UCH 1 proctitis,825,Host,Mesophile,
uid68843,887712,Chlamydia trachomatis L2c,896,Host,Mesophile,
uid57963,218497,Chlamydophila abortus S26 3,874,Host,Mesophile,
uid57783,227941,Chlamydophila caviae GPIC,927,Host,Mesophile,
uid57971,264202,Chlamydophila felis Fe C 56,923,Host,Mesophile,
uid66295,331635,Chlamydophila pecorum E58,926,Host,Mesophile,
uid57809,115711,Chlamydophila pneumoniae AR39,1004,Host,Mesophile,
uid57811,115713,Chlamydophila pneumoniae CWL029,939,Host,Mesophile,
uid57829,138677,Chlamydophila pneumoniae J138,945,"Host (Host, Pharyngeal mucosa)",Mesophile,
uid57997,182082,Chlamydophila pneumoniae TW 183,994,Host,Mesophile,
uid63621,331636,Chlamydophila psittaci 6BC,894,Host,Mesophile,
uid59185,517417,Chlorobaculum parvum NCIB 8327,1795,Fresh water,Mesophile,Facultative
uid58375,340177,Chlorobium chlorochromatii CaD3,1701,Fresh water,Mesophile,Anaerobe
uid58127,290315,Chlorobium limicola DSM 245,2057,"Fresh water (Hot spring, Fresh water)",Mesophile,Anaerobe
uid58175,319225,Chlorobium luteolum DSM 273,1761,"Fresh water (Fresh water, Hot spring, Mud)",Mesophile,Anaerobe
uid58131,331678,Chlorobium phaeobacteroides BS1,2101,Marine,Mesophile,Facultative
uid58133,290317,Chlorobium phaeobacteroides DSM 266,2144,Fresh water,Mesophile,Facultative
uid58129,290318,Chlorobium phaeovibrioides DSM 265,1538,Fresh water,Mesophile,Facultative
uid57897,194439,Chlorobium tepidum TLS,1983,"Fresh water (Fresh water, Hot spring)",Thermophile,Anaerobe (Obligate anaerobe)
uid58621,326427,Chloroflexus aggregans DSM 9485,2853,"Fresh water (Fresh water, Hot spring)",Thermophile,Facultative
uid57657,324602,Chloroflexus aurantiacus J 10 fl,2905,"Fresh water (Fresh water, Hot spring)",Thermophile,Anaerobe
uid59085,480224,Chloroflexus Y 400 fl,3108,,Mesophile,
uid59187,517418,Chloroherpeton thalassium ATCC 35110,2282,Fresh water,Mesophile,Facultative
uid58001,243365,Chromobacterium violaceum ATCC 12472,3437,"Multi (Fresh water, Host, Soil)",Mesophile,Facultative
uid62921,290398,Chromohalobacter salexigens DSM 3043,2594,"Fresh water (Fresh water, Solar saltern)",Mesophile,Aerobe
uid58143,290338,Citrobacter koseri ATCC BAA 895,3835,"Multi (Food, Fresh water, Host, Intestinal microflora, Soil)",Mesophile,Facultative
uid43089,637910,Citrobacter rodentium ICC168,3599,,Mesophile,Facultative
uid61625,443906,Clavibacter michiganensis NCPPB 382,2340,Host,Mesophile,Aerobe
uid61577,31964,Clavibacter michiganensis sepedonicus,2293,Host,Mesophile,Aerobe
uid46219,699246,Clostridiales genomosp BVAB3 UPII9 5,1332,Host,,
uid57677,272562,Clostridium acetobutylicum ATCC 824,2829,Soil,Mesophile,Anaerobe (Obligate anaerobe)
uid68293,991791,Clostridium acetobutylicum DSM 1731,2884,Soil,Mesophile,Anaerobe (Obligate anaerobe)
uid58137,290402,Clostridium beijerinckii NCIMB 8052,3367,"Multi (Fresh water, Soil)",Mesophile,Anaerobe
uid58927,441770,Clostridium botulinum A ATCC 19397,2720,"Multi (Host, Soil)",Mesophile,Anaerobe (Obligate anaerobe)
uid61579,413999,Clostridium botulinum A ATCC 3502,2751,"Multi (Soil, Host)",Mesophile,Anaerobe (Obligate anaerobe)
uid58931,441771,Clostridium botulinum A Hall,2621,"Multi (Host, Soil)",Mesophile,Anaerobe (Obligate anaerobe)
uid59229,536232,Clostridium botulinum A2 Kyoto,2930,"Multi (Food, Host, Marine)",Mesophile,Anaerobe
uid59149,498214,Clostridium botulinum A3 Loch Maree,2790,"Multi (Fresh water, Host, Soil)",Mesophile,Anaerobe
uid59159,508765,Clostridium botulinum B Eklund 17B,2710,"Marine (Food, Marine)",Mesophile,Anaerobe
uid59147,498213,Clostridium botulinum B1 Okra,2791,Host,Mesophile,Anaerobe
uid59173,515621,Clostridium botulinum Ba4 657,2822,"Multi (Soil, Host)",Mesophile,Anaerobe (Obligate anaerobe)
uid66203,929506,Clostridium botulinum BKT015925,1959,"Multi (Soil, Fresh water)",Mesophile,Anaerobe (Obligate anaerobe)
uid59157,508767,Clostridium botulinum E3 Alaska E43,2549,"Host (Food, Host)",Mesophile,Anaerobe
uid58929,441772,Clostridium botulinum F Langeland,2793,Host,Mesophile,Anaerobe (Obligate anaerobe)
uid58709,394503,Clostridium cellulolyticum H10,2594,Soil,Mesophile,Anaerobe
uid51503,573061,Clostridium cellulovorans 743B,3174,Soil,Mesophile,Anaerobe
uid57679,272563,Clostridium difficile 630,2611,Host,Mesophile,Anaerobe (Obligate anaerobe)
uid41017,645462,Clostridium difficile CD196,2496,Host,Mesophile,Anaerobe (Obligate anaerobe)
uid40921,645463,Clostridium difficile R20291,2525,Host,Mesophile,Anaerobe (Obligate anaerobe)
uid58885,431943,Clostridium kluyveri DSM 555,2740,"Fresh water (Mud, Fresh water)",Mesophile,Anaerobe
uid59369,583346,Clostridium kluyveri NBRC 12016,2538,"Fresh water (Fresh water, Mud)",Mesophile,Anaerobe
uid49117,642492,Clostridium lentocellum DSM 5427,3195,,Mesophile,Anaerobe
uid50583,748727,Clostridium ljungdahlii DSM 13528,2944,"Multi (Soil, Host)",Mesophile,Anaerobe
uid58643,386415,Clostridium novyi NT,1901,"Multi (Host, Soil, Terrestrial)",Mesophile,Anaerobe
uid57681,195102,Clostridium perfringens 13,2135,"Multi (Host, Soil)",Mesophile,Anaerobe
uid57901,195103,Clostridium perfringens ATCC 13124,2353,"Multi (Host, Soil)",Mesophile,Anaerobe (Obligate anaerobe)
uid58117,289380,Clostridium perfringens SM101,2029,Host,Mesophile,Anaerobe
uid58519,357809,Clostridium phytofermentans ISDg,2893,"Soil (Soil, Terrestrial)",Mesophile,Anaerobe
uid51419,610130,Clostridium saccharolyticum WM1,2981,Other (Sludge),Mesophile,Anaerobe
uid59585,499177,Clostridium sticklandii DSM 519,2111,"Multi (Fresh water, Host, Soil)",Mesophile,Anaerobe
uid68705,1042156,Clostridium SY8519,2079,,,
uid57683,212717,Clostridium tetani E88,1884,Host,Mesophile,Anaerobe
uid57917,203119,Clostridium thermocellum ATCC 27405,2476,"Multi (Intestinal microflora, Soil, Fresh water, Host)",Thermophile,Anaerobe
uid70793,1005048,Collimonas fungivorans Ter331,3287,Soil,,
uid57855,167879,Colwellia psychrerythraea 34H,3857,Other (Sediment),Psychrophile,Facultative
uid62961,688245,Comamonas testosteroni CNB 2,3317,Other (Sludge),Mesophile,Aerobe
uid43467,469383,Conexibacter woesei DSM 14684,3668,Soil,Mesophile,Aerobe (Obligate aerobe)
uid59253,309798,Coprothermobacter proteolyticus DSM 5265,1323,,Thermophile,Anaerobe
uid47079,583355,Coraliomargarita akajimensis DSM 45221,2567,Marine,Mesophile,Aerobe (Obligate aerobe)
uid65787,700015,Coriobacterium glomerans PW2,1411,,,
uid59409,548476,Corynebacterium aurimucosum ATCC 700975,2050,"Human (Host, Human vaginal microflora)",Mesophile,Facultative
uid57691,257309,Corynebacterium diphtheriae NCTC 13129,1946,Host,Mesophile,Facultative
uid62905,196164,Corynebacterium efficiens YS 314,2358,Host,Mesophile,Facultative
uid57905,196627,Corynebacterium glutamicum ATCC 13032,2397,"Soil (Normal microflora, Soil)",Mesophile,Facultative
uid61611,196627,Corynebacterium glutamicum ATCC 13032,2454,"Soil (Normal microflora, Soil)",Mesophile,Facultative
uid58897,340322,Corynebacterium glutamicum R,2451,"Soil (Soil, Normal microflora)",Mesophile,Facultative
uid58399,306537,Corynebacterium jeikeium K411,1673,"Human (Host, Human skin)",Mesophile,Facultative
uid59411,645127,Corynebacterium kroppenstedtii DSM 44385,1739,Host,Mesophile,Anaerobe
uid50585,765874,Corynebacterium pseudotuberculosis FRC41,1781,Host,Mesophile,Facultative
uid50555,662755,Corynebacterium resistens DSM 45100,1762,"Host (Blood, Host)",Mesophile,Anaerobe
uid68291,945712,Corynebacterium ulcerans BR AD22,1975,Host,Mesophile,Facultative
uid61639,504474,Corynebacterium urealyticum DSM 7109,1683,Host,Mesophile,Anaerobe
uid62003,858619,Corynebacterium variabile DSM 44702,2274,"Soil (Normal microflora, Soil)",Mesophile,Aerobe
uid58893,434923,Coxiella burnetii CbuG Q212,1619,Host,Mesophile,Facultative
uid58895,434924,Coxiella burnetii CbuK Q154,1639,Host,Mesophile,Facultative
uid58629,434922,Coxiella burnetii Dugway 5J108 111,1752,,,
uid58637,360115,Coxiella burnetii RSA 331,1625,"Host (Host, Blood)",Mesophile,Facultative
uid57631,227377,Coxiella burnetii RSA 493,1594,"Multi (Host, Soil)",Mesophile,Facultative
uid49661,216432,Croceibacter atlanticus HTCC2559,2345,Marine,Mesophile,Aerobe
uid58145,290339,Cronobacter sakazakii ATCC BAA 894,3378,Host,Mesophile,Facultative
uid40821,693216,Cronobacter turicensis z3032,3312,,,
uid59041,469378,Cryptobacterium curtum DSM 15641,1187,"Human (Host, Human oral microflora)",Mesophile,Anaerobe (Obligate anaerobe)
uid57815,266264,Cupriavidus metallidurans CH34,2825,"Multi (Fresh water, Soil)",Mesophile,Aerobe
uid68689,1042878,Cupriavidus necator N 1,2716,"Multi (Fresh water, Soil)",Mesophile,Aerobe
uid61615,977880,Cupriavidus taiwanensis LMG 19424,2456,,,
uid43697,713887,cyanobacterium UCYN A,1075,Other (Sea water),,
uid59013,43989,Cyanothece ATCC 51142,3593,Marine,Mesophile,Facultative
uid59025,65393,Cyanothece PCC 7424,3816,Fresh water,Mesophile,Anaerobe
uid59435,395961,Cyanothece PCC 7425,3663,Fresh water,Mesophile,Anaerobe
uid52547,497965,Cyanothece PCC 7822,3907,Fresh water,Mesophile,Aerobe
uid59027,41431,Cyanothece PCC 8801,3242,Fresh water,Mesophile,Aerobe
uid59143,395962,Cyanothece PCC 8802,3283,Fresh water,Mesophile,Aerobe
uid71485,880070,Cyclobacterium marinum DSM 745,3835,,,
uid57651,269798,Cytophaga hutchinsonii ATCC 33406,3136,"Multi (Fresh water, Soil)",Mesophile,Aerobe
uid58025,159087,Dechloromonas aromatica RCB,3111,Fresh water,Mesophile,Facultative
uid46653,639282,Deferribacter desulfuricans SSM1,1790,,Thermophile,Anaerobe
uid58477,216389,Dehalococcoides BAV1,1176,"Fresh water (Fresh water, Groundwater)",Mesophile,Anaerobe
uid58413,255470,Dehalococcoides CBDB1,1185,"Fresh water (Fresh water, Groundwater, Sediment)",Mesophile,Anaerobe
uid57763,243164,Dehalococcoides ethenogenes 195,1267,"Fresh water (Fresh water, Groundwater)",Mesophile,Anaerobe
uid42115,633145,Dehalococcoides GT,1158,"Fresh water (Fresh water, Groundwater)",Mesophile,Anaerobe
uid42393,311424,Dehalococcoides VS,1163,"Fresh water (Fresh water, Groundwater)",Mesophile,Anaerobe
uid48131,552811,Dehalogenimonas lykanthroporepellens BL DC 9,1369,,Mesophile,Anaerobe
uid58615,546414,Deinococcus deserti VCD115,2195,Soil,Mesophile,Aerobe
uid58275,319795,Deinococcus geothermalis DSM 11300,1967,"Fresh water (Fresh water, Hot spring)",Thermophile,Aerobe
uid62225,709986,Deinococcus maricopensis DSM 21211,2618,Soil,Mesophile,Aerobe
uid63399,693977,Deinococcus proteolyticus MRP,1768,"Multi (Soil, Host)",Mesophile,Aerobe
uid57665,243230,Deinococcus radiodurans R1,2220,Soil,Mesophile,Aerobe
uid58703,398578,Delftia acidovorans SPH 1,4013,"Multi (Fresh water, Oil fields, Sludge, Soil)",Mesophile,Aerobe
uid67319,742013,Delftia Cs1 4,3888,"Multi (Oil fields, Sludge, Fresh water, Soil)",Mesophile,Aerobe
uid46657,522772,Denitrovibrio acetiphilus DSM 12809,2324,"Multi (Fresh water, Marine)",Mesophile,Anaerobe (Obligate anaerobe)
uid51371,644282,Desulfarculus baarsii DSM 2075,2556,Other (Mud),Mesophile,Anaerobe
uid58913,439235,Desulfatibacillum alkenivorans AK 01,3724,Fresh water,Mesophile,Anaerobe
uid57749,272564,Desulfitobacterium hafniense DCB 2,3362,Other (Sludge),Mesophile,Anaerobe
uid58605,138119,Desulfitobacterium hafniense Y51,3332,Soil,Mesophile,Anaerobe
uid65785,880072,Desulfobacca acetoxidans DSM 11109,2269,,,
uid59061,177437,Desulfobacterium autotrophicum HRM2,3400,Fresh water,Mesophile,Anaerobe
uid62265,577650,Desulfobulbus propionicus DSM 2032,2536,"Multi (Fresh water, Marine, Sediment)",Mesophile,Anaerobe
uid58777,96561,Desulfococcus oleovorans Hxd3,2580,"Fresh water (Fresh water, Oil fields)",Mesophile,Anaerobe
uid59183,485915,Desulfohalobium retbaense DSM 5692,2061,Other (Sediment),Mesophile,Anaerobe (Obligate anaerobe)
uid59217,525897,Desulfomicrobium baculatum DSM 4028,2671,,Mesophile,Anaerobe (Obligate anaerobe)
uid58153,177439,Desulfotalea psychrophila LSv54,2494,"Marine (Marine, Sediment)",Psychrophile,Anaerobe
uid59109,485916,Desulfotomaculum acetoxidans DSM 771,3018,"Multi (Animal intestinal microflora, Fresh water, Mud, Sea water, Soil)",Mesophile,Anaerobe (Obligate anaerobe)
uid67317,868595,Desulfotomaculum carboxydivorans CO 1 SRB,2135,,Thermophile,
uid67357,760568,Desulfotomaculum kuznetsovii DSM 6115,2595,,Thermophile,
uid58277,349161,Desulfotomaculum reducens MI 1,2434,Fresh water,Thermophile (Thermotolerant),Anaerobe
uid67507,696281,Desulfotomaculum ruminis DSM 2154,2923,"Multi (Animal intestinal microflora, Fresh water, Mud, Sea water, Soil)",Mesophile,Anaerobe (Obligate anaerobe)
uid42613,643562,Desulfovibrio aespoeensis Aspo 2,2606,"Multi (Animal intestinal microflora, Fresh water, Mud, Sea water, Soil)",Mesophile,Anaerobe (Obligate anaerobe)
uid57941,207559,Desulfovibrio alaskensis G20,2488,,Mesophile,Anaerobe
uid59213,525146,Desulfovibrio desulfuricans ATCC 27774,1965,"Multi (Fresh water, Rumen, Host)",Mesophile,Anaerobe
uid59309,573370,Desulfovibrio magneticus RS 1,3293,Fresh water,Mesophile,Anaerobe
uid59223,526222,Desulfovibrio salexigens DSM 2638,2954,Other (Mud),Mesophile,Anaerobe
uid58679,391774,Desulfovibrio vulgaris DP4,2335,Other (Sediment),Mesophile,Anaerobe
uid57645,882,Desulfovibrio vulgaris Hildenborough,2734,Soil,Mesophile,Anaerobe
uid59089,883,Desulfovibrio vulgaris Miyazaki F,2499,"Multi (Fresh water, Salt marsh, Soil)",Mesophile,Anaerobe
uid45897,653733,Desulfurispirillum indicum S5,2102,"Fresh water (Fresh water, Sediment)",Mesophile,Anaerobe
uid49487,589865,Desulfurivibrio alkaliphilus AHT2,2098,,Mesophile,Anaerobe
uid63405,868864,Desulfurobacterium thermolithotrophum DSM 11699,1322,Marine,Thermophile,Anaerobe
uid57643,246195,Dichelobacter nodosus VCS1703A,1168,Host,Mesophile,Anaerobe
uid52537,198628,Dickeya dadantii 3937,3389,Host,Mesophile,Facultative
uid42519,590409,Dickeya dadantii Ech586,3092,,Mesophile,Facultative
uid59363,579405,Dickeya dadantii Ech703,2963,Host,Mesophile,Facultative
uid59297,561229,Dickeya zeae Ech1591,3128,,Mesophile,Facultative
uid59439,309799,Dictyoglomus thermophilum H 6 12,1562,"Fresh water (Hot spring, Fresh water)",Thermophile,Anaerobe
uid59177,515635,Dictyoglomus turgidum DSM 6724,1463,"Fresh water (Fresh water, Hot spring)",Thermophile,Anaerobe
uid58707,398580,Dinoroseobacter shibae DFL 12,2815,Fresh water,Mesophile,Aerobe
uid59049,471854,Dyadobacter fermentans DSM 18053,4052,"Multi (Host, Soil)",Mesophile,Aerobe
uid59403,634503,Edwardsiella ictaluri 93 146,2983,"Multi (Fresh water, Host)",Mesophile,Facultative
uid41819,498217,Edwardsiella tarda EIB202,2909,"Human (Host, Human intestinal microflora)",Mesophile,Facultative
uid59079,479437,Eggerthella lenta DSM 2243,2228,"Human (Blood, Host, Human intestinal microflora)",Mesophile,Anaerobe
uid68707,502558,Eggerthella YY7918,2009,,,
uid58071,269484,Ehrlichia canis Jake,836,Host,Mesophile,Aerobe
uid57933,205920,Ehrlichia chaffeensis Arkansas,991,Host,Mesophile,
uid58245,302409,Ehrlichia ruminantium Gardel,845,Host,Mesophile,
uid58013,254945,Ehrlichia ruminantium Welgevonden,809,Host,Mesophile,
uid58243,254945,Ehrlichia ruminantium Welgevonden,847,Host,Mesophile,
uid58949,445932,Elusimicrobium minutum Pei191,1349,"Host (Host, Termite gut)",Mesophile,Anaerobe
uid58727,399742,Enterobacter 638,3113,"Host (Endophyte, Host)",Mesophile,Facultative
uid68103,1028307,Enterobacter aerogenes KCTC 2190,3584,"Human (Host, Human airways)",Mesophile,
uid72793,640513,Enterobacter asburiae LF7a,3269,,,
uid48363,716541,Enterobacter cloacae ATCC 13047,3710,Host,Mesophile,Aerobe
uid59969,701347,Enterobacter cloacae SCF1,3272,Soil,Mesophile,Facultative
uid57669,226185,Enterococcus faecalis V583,2439,"Host (Intestinal microflora, Host, Wastewater)",Mesophile,Facultative
uid46943,716540,Erwinia amylovora ATCC 49946,2786,Host,Mesophile,Facultative
uid46839,665029,Erwinia amylovora CFBP1430,2994,"Host (Host, Plants)",Mesophile,Facultative
uid50547,634500,Erwinia billingiae Eb661,3281,,Mesophile,Facultative
uid40659,634499,Erwinia pyrifoliae Ep1 96,2840,,Mesophile,Facultative
uid59029,465817,Erwinia tasmaniensis Et1 99,2740,Host,Mesophile,Facultative
uid68021,650150,Erysipelothrix rhusiopathiae Fujisawa,1433,,,
uid58299,314225,Erythrobacter litoralis HTCC2594,2467,Marine,Mesophile,Aerobe
uid58531,362663,Escherichia coli 536,3347,"Human (Host, Human intestinal microflora)",Mesophile,Facultative
uid59383,585055,Escherichia coli 55989,3481,"Human (Host, Human intestinal microflora)",Mesophile,Facultative
uid58623,405955,Escherichia coli APEC O1,3237,"Human (Host, Human intestinal microflora)",Mesophile,Facultative
uid58783,481805,Escherichia coli ATCC 8739,3157,Host,Mesophile,Facultative
uid58803,413997,Escherichia coli B REL606,3109,"Human (Human intestinal microflora, Host)",Mesophile,Facultative
uid59245,866768,Escherichia coli BL21 Gold DE3 pLysS AG,3183,,,
uid59391,595496,Escherichia coli BW2952,3097,"Human (Human intestinal microflora, Host)",Mesophile,Facultative
uid57915,199310,Escherichia coli CFT073,3893,"Human (Host, Human intestinal microflora)",Mesophile,Facultative
uid58395,331111,Escherichia coli E24377A,3597,"Human (Host, Human intestinal microflora)",Mesophile,Facultative
uid59379,585397,Escherichia coli ED1a,3513,"Human (Host, Human intestinal microflora)",Mesophile,Facultative
uid58393,331112,Escherichia coli HS,3330,"Human (Host, Human intestinal microflora)",Mesophile,Facultative
uid59377,585034,Escherichia coli IAI1,3319,"Human (Host, Human intestinal microflora)",Mesophile,Facultative
uid59381,585057,Escherichia coli IAI39,3366,"Human (Host, Human intestinal microflora)",Mesophile,Facultative
uid58979,316385,Escherichia coli K 12 substr DH10B,3049,"Human (Human intestinal microflora, Host)",Mesophile,Facultative
uid57779,511145,Escherichia coli K 12 substr MG1655,3140,"Human (Host, Human intestinal microflora)",Mesophile,Facultative
uid41013,585395,Escherichia coli O103 H2 12009,3530,Host,Mesophile,Facultative
uid41023,585396,Escherichia coli O111 H 11128,3487,Host,Mesophile,Facultative
uid59343,574521,Escherichia coli O127 H6 E2348 69,3386,"Human (Host, Human intestinal microflora)",Mesophile,Facultative
uid59091,444450,Escherichia coli O157 H7 EC4115,3725,"Human (Host, Human intestinal microflora)",Mesophile,Facultative
uid57831,155864,Escherichia coli O157 H7 EDL933,3588,"Human (Host, Human intestinal microflora)",Mesophile,Facultative
uid57781,386585,Escherichia coli O157 H7 Sakai,3650,"Human (Host, Human intestinal microflora)",Mesophile,Facultative
uid59235,544404,Escherichia coli O157 H7 TW14359,3659,"Human (Human intestinal microflora, Host)",Mesophile,Facultative
uid41021,573235,Escherichia coli O26 H11 11368,3611,"Human (Host, Human skin)",Mesophile,Facultative
uid46655,701177,Escherichia coli O55 H7 CB9615,3614,"Human (Host, Human intestinal microflora)",Mesophile,Facultative
uid62979,585035,Escherichia coli S88,3433,"Human (Host, Human intestinal microflora)",Mesophile,Facultative
uid59425,409438,Escherichia coli SE11,3492,"Human (Host, Human intestinal microflora)",Mesophile,Facultative
uid58919,439855,Escherichia coli SMS 3 5,3544,"Human (Human intestinal microflora, Host)",Mesophile,Facultative
uid62981,585056,Escherichia coli UMN026,3576,"Human (Host, Human intestinal microflora)",Mesophile,Facultative
uid58541,364106,Escherichia coli UTI89,3757,"Human (Host, Human intestinal microflora)",Mesophile,Facultative
uid59375,585054,Escherichia fergusonii ATCC 35469,3273,Host,Mesophile,Facultative
uid46255,663278,Ethanoligenens harbinense YUAN 3,2129,Other (Sludge),Mesophile,Anaerobe (Obligate anaerobe)
uid59171,515620,Eubacterium eligens ATCC 27750,1730,"Multi (Host, Intestinal microflora, Soil)",Mesophile,Anaerobe
uid59777,903814,Eubacterium limosum KIST612,3304,,,Anaerobe
uid59169,515619,Eubacterium rectale ATCC 33656,2830,"Host (Intestinal microflora, Host)",Mesophile,Anaerobe
uid59093,360911,Exiguobacterium AT1b,2497,,Thermophile,Facultative
uid58053,262543,Exiguobacterium sibiricum 255 15,2421,Other (Permafrost sediment),Psychrophile (Psychrotrophic),Facultative
uid53371,550540,Ferrimonas balearica DSM 9799,3091,"Multi (Marine, Fresh water)",Mesophile,Facultative
uid58625,381764,Fervidobacterium nodosum Rt17 B1,1484,"Fresh water (Fresh water, Hot spring)",Thermophile,Anaerobe
uid41169,59374,Fibrobacter succinogenes S85,2444,Host,Mesophile,Anaerobe
uid58867,334413,Finegoldia magna ATCC 29328,1381,"Human (Host, Human skin)",Mesophile,Anaerobe
uid59413,531844,Flavobacteriaceae bacterium 3519 10,2234,,,
uid51877,313603,Flavobacteriales bacterium HTCC2170,2831,"Multi (Coastal, Fresh water, Marine)",Mesophile,Aerobe
uid73421,1034807,Flavobacterium branchiophilum,2477,,,
uid58493,376686,Flavobacterium johnsoniae UW101,3782,"Multi (Fresh water, Soil)",Mesophile,Aerobe
uid61627,402612,Flavobacterium psychrophilum JIP02 86,2122,"Multi (Fresh water, Host)",Psychrophile,Aerobe
uid68147,717231,Flexistipes sinusarabici DSM 4947,1782,,,
uid65271,755732,Fluviicola taffensis DSM 16823,3289,,,
uid58499,401614,Francisella novicida U112,1517,"Multi (Fresh water, Host)",Mesophile,Aerobe
uid59105,484022,Francisella philomiragia ATCC 25017,1609,"Multi (Fresh water, Host)",Mesophile,Aerobe
uid58693,393115,Francisella tularensis FSC198,1349,"Multi (Host, Fresh water)",Mesophile,Aerobe
uid58999,458234,Francisella tularensis holarctica FTNF002 00,1325,"Multi (Fresh water, Host)",Mesophile,Aerobe
uid58595,376619,Francisella tularensis holarctica LVS,1375,,,
uid58687,393011,Francisella tularensis holarctica OSU18,1340,"Multi (Fresh water, Host)",Mesophile,Aerobe
uid58939,441952,Francisella tularensis mediasiatica FSC147,1255,"Multi (Fresh water, Host)",Mesophile,Aerobe
uid57589,177416,Francisella tularensis SCHU S4,1348,"Multi (Fresh water, Host)",Mesophile,Aerobe
uid58811,418136,Francisella tularensis WY96 3418,1397,"Multi (Fresh water, Host)",Mesophile,Aerobe
uid68321,573569,Francisella TX077308,1701,"Multi (Fresh water, Host)",Mesophile,Aerobe
uid58695,326424,Frankia alni ACN14a,4616,"Multi (Host, Soil)",Mesophile,Aerobe
uid58397,106370,Frankia CcI3,3190,"Soil (Plant symbiont, Soil)",Mesophile,Aerobe
uid58367,298653,Frankia EAN1pec,4159,"Multi (Host, Soil, Plant symbiont)",Mesophile,Aerobe
uid42615,298654,Frankia EuI1c,4236,"Multi (Host, Plant symbiont, Soil)",Mesophile,Aerobe
uid46257,656024,Frankia symbiont of Datisca glomerata,3065,"Multi (Host, Plant symbiont, Soil, Root nodule)",Mesophile,Aerobe
